project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
grpc-go,warm,FFD-Multifit,2,5,228.063912083,228.410124406,1.360763137,0.005957542996567164,168.180999999,0.7374292515766079,266.63,0.00011691021063558908,221.854360665,414.95764114,17.131568569056547,-8.019796428937575,-12.63894614404015,-2.798931424826222,5,0,20260707-152705
grpc-go,warm,LPT,2,5,202.473407192,202.202755822,0.910444887,0.00450263342504327,168.181999995,0.8306374764342145,40.56,2.003226031630814e-05,221.854360665,414.95764114,26.430036618974427,4.10084599796922,0.0,8.735890254717706,5,0,20260707-152705
grpc-go,warm,Quantity,2,5,211.131588489,211.959766039,2.717058437,0.012818746160061664,170.639499998,0.8082139731871072,7.989,3.7838961271379003e-06,221.854360665,414.95764114,23.284032954589318,0.0,-4.276206647122643,4.83324832735264,5,0,20260707-152705
grpc-go,warm,Round-Robin,2,5,275.212053788,265.036125471,16.162415507,0.06098193398457478,245.461999997,0.8919013415963353,7.62,2.7687740762509628e-06,221.854360665,414.95764114,0.0,-30.350960629625824,-35.9250370726581,-24.050775005306335,5,0,20260707-152705
grpc-go,warm,FFD-Multifit,4,5,138.237448952,138.341654097,0.220254744,0.0015921072032691296,84.090999999,0.6083083899226093,256.75,0.0001857311473457174,134.695174776,414.95764114,29.66997264130588,7.260682446120392,-32.93880797474794,-2.6298448937691044,5,0,20260707-152705
grpc-go,warm,LPT,4,5,103.985774401,104.584285175,3.307856902,0.031628622755942644,84.091999998,0.8086875390639137,44.351,4.265102631151198e-05,134.695174776,414.95764114,47.0959395302736,30.23909348465373,0.0,22.79918373176334,5,0,20260707-152705
grpc-go,warm,Quantity,4,5,149.060239603,149.019453386,0.586051104,0.003932715432004517,134.044499997,0.89926395096377,7.86,5.273035935628409e-06,134.695174776,414.95764114,24.163742829103914,0.0,-43.34676109462771,-10.664869659131691,5,0,20260707-152705
grpc-go,warm,Round-Robin,4,5,196.555374914,196.247062633,0.796801658,0.004060196607834544,180.760999999,0.9196441464808042,7.76,3.947996844856202e-06,134.695174776,414.95764114,0.0,-31.863047743312556,-89.02140802070113,-45.926069913695436,5,0,20260707-152705
grpc-go,warm,FFD-Multifit,8,5,63.395307179,64.187988761,1.612419721,0.025120271753703717,53.143,0.8382797144581685,325.2,0.0005129717237299294,88.484606078,414.95764114,53.796902026546164,32.45805827514164,-15.85288865663099,28.354422323905187,5,0,20260707-152705
grpc-go,warm,LPT,8,5,54.720523514,55.279240613,1.382948659,0.02501750464847689,53.143,0.9711712642223461,42.91,7.84166474376322e-05,88.484606078,414.95764114,60.11916620362202,41.70025235620872,0.0,38.15814304946631,5,0,20260707-152705
