project,regime,workers,rank,algorithm,median_s,std_s,run_cv,planned_s,native_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,result_dir
grpc-go,cold,4,1,LPT,255.429355811,12.976679733,0.049492566346264415,84.091999998,196.978583076,27.85986002512333,17.424740028104523,0.0,-29.673668996008562,20260706-070547
grpc-go,cold,4,2,Quantity,309.329157302,20.40053836,0.06425378634134048,134.044499997,196.978583076,12.637102202972658,0.0,-21.10164719316057,-57.03694912997314,20260706-070547
grpc-go,cold,4,3,FFD-Multifit,334.928884461,29.682791384,0.08553522113450551,84.090999999,196.978583076,5.407048732002814,-8.275885591349807,-31.123880964106622,-70.0331473761159,20260706-070547
grpc-go,cold,4,4,Round-Robin,354.073828939,12.835372411,0.03557517660275463,180.760999999,196.978583076,0.0,-14.465067576321461,-38.61908229568965,-79.7524499414173,20260706-070547
grpc-go,cold,8,1,LPT,205.032553208,5.750010926,0.0281456433817651,53.143,129.965106565,29.312655537408087,12.769398469406823,0.0,-57.75969306458128,20260706-070547
grpc-go,cold,8,2,Quantity,235.046588709,4.924165133,0.021083225086797424,85.525499999,129.965106565,18.96496960668015,0.0,-14.638668363336219,-80.85361134332246,20260706-070547
grpc-go,cold,8,3,FFD-Multifit,238.507227167,8.111098364,0.03427075858548335,53.143,129.965106565,17.77187446684167,-1.4723202225599867,-16.326516660523097,-83.51635563636025,20260706-070547
grpc-go,cold,8,4,Round-Robin,290.055532241,18.804546359,0.06296539368780038,129.3775,129.965106565,0.0,-23.403421353246674,-41.468038954158885,-123.17954403856335,20260706-070547
grpc-go,warm,2,1,LPT,202.473407192,0.910444887,0.00450263342504327,168.181999995,221.854360665,26.430036618974427,4.10084599796922,0.0,8.735890254717706,20260707-152705
grpc-go,warm,2,2,Quantity,211.131588489,2.717058437,0.012818746160061664,170.639499998,221.854360665,23.284032954589318,0.0,-4.276206647122643,4.83324832735264,20260707-152705
grpc-go,warm,2,3,FFD-Multifit,228.063912083,1.360763137,0.005957542996567164,168.180999999,221.854360665,17.131568569056547,-8.019796428937575,-12.63894614404015,-2.798931424826222,20260707-152705
grpc-go,warm,2,4,Round-Robin,275.212053788,16.162415507,0.06098193398457478,245.461999997,221.854360665,0.0,-30.350960629625824,-35.9250370726581,-24.050775005306335,20260707-152705
grpc-go,warm,4,1,LPT,103.985774401,3.307856902,0.031628622755942644,84.091999998,134.695174776,47.0959395302736,30.23909348465373,0.0,22.79918373176334,20260707-152705
grpc-go,warm,4,2,FFD-Multifit,138.237448952,0.220254744,0.0015921072032691296,84.090999999,134.695174776,29.66997264130588,7.260682446120392,-32.93880797474794,-2.6298448937691044,20260707-152705
grpc-go,warm,4,3,Quantity,149.060239603,0.586051104,0.003932715432004517,134.044499997,134.695174776,24.163742829103914,0.0,-43.34676109462771,-10.664869659131691,20260707-152705
grpc-go,warm,4,4,Round-Robin,196.555374914,0.796801658,0.004060196607834544,180.760999999,134.695174776,0.0,-31.863047743312556,-89.02140802070113,-45.926069913695436,20260707-152705
grpc-go,warm,8,1,LPT,54.720523514,1.382948659,0.02501750464847689,53.143,88.484606078,60.11916620362202,41.70025235620872,0.0,38.15814304946631,20260707-152705
grpc-go,warm,8,2,FFD-Multifit,63.395307179,1.612419721,0.025120271753703717,53.143,88.484606078,53.796902026546164,32.45805827514164,-15.85288865663099,28.354422323905187,20260707-152705
grpc-go,warm,8,3,Quantity,93.860652448,0.37782739,0.004017974838996957,85.525499999,88.484606078,31.593470969980874,0.0,-71.52732909067686,-6.07568548732755,20260707-152705
grpc-go,warm,8,4,Round-Robin,137.21007889,0.704134388,0.005129169626118201,129.3775,88.484606078,0.0,-46.18487652854975,-150.74701424392515,-55.06660985646255,20260707-152705
hugo,cold,2,1,Round-Robin,1489.05975692,54.50521867,0.035740843324413366,74.907,1669.842296839,0.0,1.486226366506344,0.9663748063423275,10.826324154156366,20260706-123517
hugo,cold,2,2,LPT,1503.590072572,53.352353096,0.035584036334019235,59.397,1669.842296839,-0.9758047374844724,0.5249242963159839,0.0,9.956163200663577,20260706-123517
hugo,cold,2,3,Quantity,1511.524431558,60.216510863,0.038738705701004995,80.454999999,1669.842296839,-1.5086482952481706,0.0,-0.5276942918642519,9.481007013697916,20260706-123517
hugo,cold,2,4,FFD-Multifit,2423.918955566,94.548996456,0.038348753180104375,59.3965,1669.842296839,-62.78184567822053,-60.362538967865156,-61.208762932287165,-45.158555400977804,20260706-123517
hugo,cold,4,1,Round-Robin,898.779731951,25.137704691,0.02744792692956862,54.001,872.928812793,0.0,22.33793206357629,33.635097655947845,-2.961400606687284,20260706-123517
hugo,cold,4,2,Quantity,1157.295647454,40.098371262,0.03463791882003453,50.8295,872.928812793,-28.76298900753291,0.0,14.546568089868185,-32.57617694519067,20260706-123517
hugo,cold,4,3,LPT,1354.2997883,46.678150716,0.0347942329096349,49.4185,872.928812793,-50.682057033061156,-17.022801501016676,0.0,-55.14435638420711,20260706-123517
hugo,cold,4,4,FFD-Multifit,2407.31264587,106.893072013,0.045276942695343346,49.4185,872.928812793,-167.84233781556196,-108.01189835682723,-77.75330592732396,-175.77422243259744,20260706-123517
hugo,cold,8,1,Round-Robin,703.548150514,20.120506599,0.02855311733312604,51.7605,493.841683929,0.0,26.163978870112015,20.98911875922048,-42.46431060994633,20260706-123517
hugo,cold,8,2,LPT,890.444631759,27.197056902,0.03114529467203846,49.4185,493.841683929,-26.564845790363705,6.549553719216915,0.0,-80.30973502978334,20260706-123517
hugo,cold,8,3,Quantity,952.852198355,31.918238783,0.03426843473446368,49.865,493.841683929,-35.435250260961226,0.0,-7.008584741840605,-92.94689560713395,20260706-123517
hugo,cold,8,4,FFD-Multifit,2439.700750895,112.052653897,0.04733489039426364,49.4185,493.841683929,-246.77097070223226,-156.04188720001792,-173.9867998390391,-394.0248728063542,20260706-123517
hugo,warm,2,1,LPT,130.364842162,2.868730231,0.021648387210736423,59.397,151.703124238,9.519481883739248,8.63022199827334,0.0,14.065815838125618,20260707-180210
hugo,warm,2,2,Quantity,142.678295836,2.362858098,0.01639130634184032,80.454999999,151.703124238,0.9732538536419583,0.0,-9.445379191038695,5.949006289311065,20260707-180210
hugo,warm,2,3,Round-Robin,144.080565492,3.249029715,0.022215533737376836,74.907,151.703124238,0.0,-0.9828191791776371,-10.521029368451913,5.024655084915261,20260707-180210
hugo,warm,2,4,FFD-Multifit,184.232084202,4.045987642,0.021613869425079344,59.3965,151.703124238,-27.867407774873982,-29.124113182402716,-41.32037529954663,-21.442511568164445,20260707-180210
hugo,warm,4,1,LPT,71.183282287,1.524430024,0.021064475576885153,49.4185,78.317763097,22.274022814571993,4.22984275767782,0.0,9.109658560042925,20260707-180210
hugo,warm,4,2,Quantity,74.327206237,0.57680088,0.00774299464389765,50.8295,78.317763097,18.841130239807306,0.0,-4.41666055426355,5.095340702028885,20260707-180210
hugo,warm,4,3,Round-Robin,91.582357488,11.808511147,0.12108001954320702,54.001,78.317763097,0.0,-23.2151215208872,-28.657115189988126,-16.936891282979087,20260707-180210
hugo,warm,4,4,FFD-Multifit,143.662802832,3.653737624,0.024971149647788845,49.4185,78.317763097,-56.86733424701814,-93.28427651903971,-101.82098691764982,-83.43578410694302,20260707-180210
hugo,warm,8,1,LPT,54.086932414,0.446269211,0.008229573678268884,49.4185,58.517970161,23.986764263160694,17.115370117991514,0.0,7.572097485283445,20260707-180210
hugo,warm,8,2,Quantity,65.255684306,1.049359657,0.015882025221916774,49.865,58.517970161,8.290311671718925,0.0,-20.649630869265298,-11.5139232042099,20260707-180210
hugo,warm,8,3,Round-Robin,71.154624441,0.545490097,0.007647780470004253,51.7605,58.517970161,0.0,-9.039733776046855,-31.556036301630126,-21.594484985095814,20260707-180210
hugo,warm,8,4,FFD-Multifit,143.365498447,3.196769684,0.022122242928764153,49.4185,58.517970161,-101.48444261114162,-119.69809982334074,-165.06494646365059,-144.9939703181086,20260707-180210
